,_0_14eves,_15_18eves,_19_30eves,_31_62eves,_63_Xeves,kerulet,nepesseg,nmar,telepules,x,y
6165,0,0,2,5,3,,10,250.0,Mosonmagyaróvár,516300.0,280500.0
6166,3,1,11,19,1,,35,250.0,Mosonmagyaróvár,516300.0,280600.0
6167,5,2,14,32,9,,62,260.0,Mosonmagyaróvár,516300.0,280900.0
6168,4,4,4,13,9,,34,260.0,Mosonmagyaróvár,516300.0,281000.0
6169,1,2,2,9,3,,17,270.0,Mosonmagyaróvár,516300.0,281300.0
6170,6,0,2,14,6,,28,270.0,Mosonmagyaróvár,516300.0,281400.0
6171,9,1,1,14,6,,31,270.0,Mosonmagyaróvár,516300.0,281500.0
6172,5,0,8,17,13,,43,260.0,Mosonmagyaróvár,516300.0,281600.0
6173,7,4,7,17,7,,42,260.0,Mosonmagyaróvár,516300.0,281700.0
6174,2,1,5,8,6,,22,280.0,Mosonmagyaróvár,516300.0,281900.0
6175,2,1,1,8,5,,17,280.0,Mosonmagyaróvár,516300.0,282000.0
6176,8,1,5,17,9,,40,280.0,Mosonmagyaróvár,516300.0,282100.0
6177,0,0,5,11,1,,17,280.0,Mosonmagyaróvár,516300.0,282200.0
6178,5,0,3,15,3,,26,280.0,Mosonmagyaróvár,516300.0,282300.0
6179,12,1,7,18,5,,43,280.0,Mosonmagyaróvár,516300.0,282400.0
6180,7,0,2,21,6,,36,280.0,Mosonmagyaróvár,516300.0,282500.0
6181,1,1,0,3,2,,7,280.0,Mosonmagyaróvár,516300.0,282600.0
6182,7,0,4,15,9,,35,200.0,Mosonmagyaróvár,516300.0,282700.0
6183,5,2,4,16,7,,34,120.0,Mosonmagyaróvár,516300.0,282800.0
6184,2,0,1,17,4,,24,200.0,Mosonmagyaróvár,516300.0,282900.0
6185,2,2,0,3,1,,8,280.0,Mosonmagyaróvár,516300.0,283000.0
6186,3,1,1,7,2,,14,240.0,Mosonmagyaróvár,516300.0,283100.0
6187,43,9,47,125,25,,249,290.0,Mosonmagyaróvár,516300.0,283300.0
6188,3,2,6,10,0,,21,260.0,Mosonmagyaróvár,516300.0,283400.0
6189,11,2,17,45,13,,88,230.0,Mosonmagyaróvár,516300.0,283500.0
6190,10,11,33,52,10,,116,300.0,Mosonmagyaróvár,516300.0,283600.0
6191,13,2,1,11,1,,28,360.0,Mosonmagyaróvár,516300.0,283800.0
6192,24,2,3,31,4,,64,360.0,Mosonmagyaróvár,516300.0,283900.0
6193,22,0,0,21,0,,43,370.0,Mosonmagyaróvár,516300.0,284000.0
6194,4,1,3,12,2,,22,300.0,Mosonmagyaróvár,516300.0,284100.0
6195,1,0,0,2,0,,3,290.0,Mosonmagyaróvár,516300.0,284200.0
6196,2,0,3,7,0,,12,320.0,Mosonmagyaróvár,516300.0,284300.0
6197,0,0,0,2,1,,3,280.0,Mosonmagyaróvár,516300.0,286300.0
6198,9,2,6,19,11,,47,250.0,Mosonmagyaróvár,516400.0,280400.0
6199,2,2,8,39,6,,57,250.0,Mosonmagyaróvár,516400.0,280500.0
6200,1,2,3,20,10,,36,250.0,Mosonmagyaróvár,516400.0,280600.0
6201,10,4,6,27,0,,47,280.0,Mosonmagyaróvár,516400.0,280700.0
6202,16,5,12,38,1,,72,260.0,Mosonmagyaróvár,516400.0,280800.0
6203,6,1,13,13,5,,38,280.0,Mosonmagyaróvár,516400.0,280900.0
6204,3,1,0,15,6,,25,260.0,Mosonmagyaróvár,516400.0,281000.0
6205,1,0,2,9,5,,17,280.0,Mosonmagyaróvár,516400.0,281200.0
6206,7,0,5,22,6,,40,270.0,Mosonmagyaróvár,516400.0,281300.0
6207,4,1,5,12,9,,31,270.0,Mosonmagyaróvár,516400.0,281400.0
6208,0,0,0,2,2,,4,270.0,Mosonmagyaróvár,516400.0,281500.0
6209,2,0,3,5,3,,13,270.0,Mosonmagyaróvár,516400.0,281600.0
6210,2,0,0,6,7,,15,270.0,Mosonmagyaróvár,516400.0,281700.0
6211,4,6,2,25,4,,41,280.0,Mosonmagyaróvár,516400.0,281800.0
6212,14,3,3,19,12,,51,280.0,Mosonmagyaróvár,516400.0,281900.0
6213,6,1,3,14,3,,27,280.0,Mosonmagyaróvár,516400.0,282000.0
6214,0,0,0,2,4,,6,280.0,Mosonmagyaróvár,516400.0,282100.0
6215,0,0,0,9,6,,15,280.0,Mosonmagyaróvár,516400.0,282200.0
6216,7,1,1,15,7,,31,280.0,Mosonmagyaróvár,516400.0,282300.0
6217,10,3,5,22,7,,47,280.0,Mosonmagyaróvár,516400.0,282400.0
6218,5,0,5,9,8,,27,280.0,Mosonmagyaróvár,516400.0,282500.0
6219,7,3,1,14,6,,31,310.0,Mosonmagyaróvár,516400.0,282600.0
6220,1,0,3,5,2,,11,250.0,Mosonmagyaróvár,516400.0,282700.0
6221,7,0,0,9,11,,27,250.0,Mosonmagyaróvár,516400.0,282800.0
6222,0,0,3,4,8,,15,200.0,Mosonmagyaróvár,516400.0,282900.0
6223,1,0,2,3,2,,8,240.0,Mosonmagyaróvár,516400.0,283100.0
6224,4,2,5,27,4,,42,260.0,Mosonmagyaróvár,516400.0,283200.0
6225,23,1,51,129,49,,253,250.0,Mosonmagyaróvár,516400.0,283300.0
6226,11,3,27,46,31,,118,250.0,Mosonmagyaróvár,516400.0,283500.0
6227,0,1,1,3,5,,10,290.0,Mosonmagyaróvár,516400.0,283600.0
6228,3,0,1,6,1,,11,360.0,Mosonmagyaróvár,516400.0,283700.0
6229,10,1,1,11,0,,23,360.0,Mosonmagyaróvár,516400.0,283800.0
6230,6,0,0,9,7,,22,360.0,Mosonmagyaróvár,516400.0,283900.0
6231,7,1,1,14,1,,24,360.0,Mosonmagyaróvár,516400.0,284000.0
6232,8,0,1,10,2,,21,360.0,Mosonmagyaróvár,516400.0,284100.0
6233,2,0,1,7,1,,11,360.0,Mosonmagyaróvár,516400.0,284200.0
6234,7,3,3,22,3,,38,320.0,Mosonmagyaróvár,516400.0,284300.0
6235,2,2,0,9,3,,16,280.0,Mosonmagyaróvár,516500.0,280100.0
6236,0,0,0,2,2,,4,250.0,Mosonmagyaróvár,516500.0,280300.0
6237,7,2,3,23,22,,57,250.0,Mosonmagyaróvár,516500.0,280400.0
6238,2,2,11,36,31,,82,250.0,Mosonmagyaróvár,516500.0,280500.0
6239,0,0,0,2,8,,10,250.0,Mosonmagyaróvár,516500.0,280600.0
6240,3,2,5,9,2,,21,280.0,Mosonmagyaróvár,516500.0,280700.0
6241,3,5,12,27,3,,50,260.0,Mosonmagyaróvár,516500.0,280800.0
6242,7,1,5,16,1,,30,250.0,Mosonmagyaróvár,516500.0,280900.0
6243,1,1,0,4,2,,8,250.0,Mosonmagyaróvár,516500.0,281000.0
